Parliamentary constituency,Ons code,all_accidents,cars_per_household,travel_by_bicycle_to_work,employment_rate,public_transport_accessibility,population_density,area_of_road
Barking,E14000540,336,0.795073224,1.419057227,61.66828649,8.323726182,76.93788815,16.14875095
Battersea,E14000549,363,0.624216143,8.392863715,79.60148847,23.63174871,110.7796249,20.00422975
Beckenham,E14000551,217,1.278192365,1.520896711,76.26535555,4.810359333,30.82656119,10.4933055
Bermondsey and Old Southwark,E14000553,517,0.427053452,6.755157254,68.21210642,32.89627678,120.3630314,21.04319519
Bethnal Green & Bow,E14000555,494,0.382435956,9.217237116,62.14645719,26.86941622,148.3885296,23.18533054
Bexleyheath & Crayford,E14000558,181,1.174585326,1.078364192,73.38210341,5.4484845,45.98797343,12.71451762
Brent Central,E14000591,386,0.697450254,2.746781717,64.59095653,10.085658,89.76436201,17.14512632
Brent North,E14000592,305,1.049278807,0.987286123,67.046123,8.232595889,64.16353661,13.86686529
Brentford & Isleworth,E14000593,397,0.934040536,4.281226693,73.04169575,8.0434061,54.95887384,13.37028201
Bromley & Chislehurst,E14000604,213,1.156564429,1.374659079,73.09451322,6.095053333,35.48639247,11.69116654
Camberwell & Peckham,E14000615,350,0.486664594,7.751793341,66.09084387,15.73855433,120.3038098,19.08074809
Carshalton & Wallington,E14000621,205,1.16992265,2.139769941,74.61188773,5.654696667,50.24041953,12.46191171
Chelsea and Fulham,E14000629,450,0.655851355,6.223261695,72.26906087,17.77282655,127.7911096,21.07778821
Chingford & Woodford Green,E14000634,208,1.160813714,1.655557891,72.24682963,5.050712,50.41627548,13.3419707
Chipping Barnet,E14000636,250,1.185241953,1.175040562,71.76020224,5.004374857,39.63449046,10.23824584
Cities of London & Westminster,E14000639,1489,0.464467681,4.596445861,68.81204064,53.40665027,107.6719114,26.62377692
Croydon Central,E14000654,268,0.937977878,0.905312431,69.6688279,10.61238813,58.89964525,13.9939514
Croydon North,E14000655,405,0.780404784,1.638455415,66.99987325,10.14232063,80.8715196,16.10069545
